Which EPA Section is This From?,Name of Water Source,Date of Water Sampling,Longitude,Latitude,US EPA Risk Rating,Amount of Aluminum (Al),Exceedance of Aluminum (Al)?,Amount of Antimony (Sb),Exceedance of of Antimony (Sb)?,Amount of Arsenic (As),Exceedance of Arsenic (As)?,Amount of Barium (Ba),Exceedance of Barium (Ba)?,Amount of Beryllium (Be),Exceedance of Beryllium (Be)?,Amount of Cadmium (Cd),Exceedance of Cadmium (Cd)?,Amount of Chromium (Cr),Exceedance of Chromium (Cr)?,Amount of Copper (Cu),Exceedance of Copper (Cu)?,Amount of Iron (Fe),Exceedance of Iron (Fe)?,Amount of Lead (Pb),Exceedance of Lead (Pb)?,Amount of Manganese (Mn),Exceedance of Manganese (Mn)?,Amount of Mercury (Hg),Exceedance of Mercury (Hg)?,Amount of Nickel (Ni),Exceedance of Nickel (Ni)?,Amount of Selenium (Se),Exceedance of Selenium (Se)?,Amount of Silver (Ag),Exceedance of Silver (Ag)?,Amount of Thallium (TI),Exceedance of Thallium (TI)?,Amount of Vanadium (V),Exceedance of Vanadium (V)?,Amount of Zinc (Zn),Exceedance of Zinc (Zn)?,Amount of Alpha Particles,Alpha Particle Exceedance?,Amount of Beta Particles,Beta Particle Exceedance?,Amount of Lead210,Exceedance of Lead210?,Amount of Radium226,Exceedance of of Radium226?,Amount of Radium228,Exceedance of Radium228?,Amount of Thorium228,Exceedance of Thorium228?,Amount of Thorium230,Exceedance of Thorium230?,Amount of Thorium232,Exceedance of Thorium232?,Amount of Uranium234,Exceedance of Uranium234?,Amount of Uranium235,Exceedance of Uranium235?,Amount of Uranium238,Exceedance of Uranium238?
Section 2,LUM 205,9/3/99,109 06 7.05,36 27 33.48,Some Risk,661,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),40.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",404,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),4.4,No (Below 50 micrograms/liter),0.057,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),0,"No (Below 5,000 micrograms/liter)",1.2,No (Below 15 pico-curies/liter),3,No (Below 50 pico-curies/liter),-3.2,No (Below 0.047 pico-curies/liter),0.2,No (Below 5 Pico-curies per Liter),-5.9,No (Below 5 pico-curies/liter),0.4,Yes (Above 0.21 pico-curies/liter),1,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),4.5,No (Below 20 pico-curies/liter),1.1,No (Below 20 pico-curies/liter),3.5,No (Below 20 pico-curies/liter)
Section 4,Tank 8T-528,10/8/98,109 59 9.3095,36 32 50.2932,More Risk,272,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),7,No (Below 50 micrograms/liter),6.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),5.7,No (Below 100 micrograms/liter),29.7,"No (Below 1,300 micrograms/liter)",354,Yes (Above 300 micrograms/liter),15.9,Yes (Above 15 micrograms/liter),7.8,No (Below 50 micrograms/liter),0.18,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),41.2,No (Below 260 micrograms/liter),419,"No (Below 5,000 micrograms/liter)",2.33,No (Below 15 pico-curies/liter),1.88,No (Below 50 pico-curies/liter),0.85,Yes (Above 0.047 pico-curies/liter),0.032,No (Below 5 Pico-curies per Liter),0.216,No (Below 5 pico-curies/liter),0.013,No (Below 0.21 pico-curies/liter),0.02,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),1.56,No (Below 20 pico-curies/liter),0.085,No (Below 20 pico-curies/liter),0.78,No (Below 20 pico-curies/liter)
Section 3,Tanner Wash Windmill,8/5/98,111 39 35.153,36 36 22.4453,Some Risk,126,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),13.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),8.2,"No (Below 1,300 micrograms/liter)",56,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),4,No (Below 50 micrograms/liter),0.019,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),23.6,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),101,"No (Below 5,000 micrograms/liter)",10.4,No (Below 15 pico-curies/liter),13.3,No (Below 50 pico-curies/liter),0.43,Yes (Above 0.047 pico-curies/liter),0.134,No (Below 5 Pico-curies per Liter),0.237,No (Below 5 pico-curies/liter),0.005,No (Below 0.21 pico-curies/liter),0.011,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),7.8,No (Below 20 pico-curies/liter),0.293,No (Below 20 pico-curies/liter),5.51,No (Below 20 pico-curies/liter)
Section 4,Tank 8T-518,10/8/98,109 54 13.091,36 31 13.2899,More Risk,60.9,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),28.5,No (Below 50 micrograms/liter),3.7,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),29.7,No (Below 100 micrograms/liter),11.3,"No (Below 1,300 micrograms/liter)",953,Yes (Above 300 micrograms/liter),1.7,No (Below 15 micrograms/liter),7.1,No (Below 50 micrograms/liter),0.22,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),6.1,Yes (Above 2 micrograms/liter),81,No (Below 260 micrograms/liter),132,"No (Below 5,000 micrograms/liter)",13.3,No (Below 15 pico-curies/liter),5.03,No (Below 50 pico-curies/liter),0.23,Yes (Above 0.047 pico-curies/liter),0.032,No (Below 5 Pico-curies per Liter),-0.083,No (Below 5 pico-curies/liter),-0.006,No (Below 0.21 pico-curies/liter),-0.001,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),8.55,No (Below 20 pico-curies/liter),-0.004,No (Below 20 pico-curies/liter),3.43,No (Below 20 pico-curies/liter)
Section 5,Cottonwood Spring,11/23/98,109 27 45.920,36 10 58.8600,More Risk,429,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),282,Yes (Above 50 micrograms/liter),763,"No (Below 1,000 micrograms/liter)",0.2,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),217,"No (Below 1,300 micrograms/liter)","47,300.00",Yes (Above 300 micrograms/liter),17.4,Yes (Above 15 micrograms/liter),"2,550.00",Yes (Above 50 micrograms/liter),0.12,No (Below 2 micrograms/liter),9.4,No (Below 730 micrograms/liter),6.5,No (Below 50 micrograms/liter),0.7,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),18.7,No (Below 260 micrograms/liter),"1,540.00","No (Below 5,000 micrograms/liter)",36.1,Yes (Above 15 pico-curies/liter),23.6,No (Below 50 pico-curies/liter),6.57,Yes (Above 0.047 pico-curies/liter),3.07,No (Below 5 Pico-curies per Liter),1.22,No (Below 5 pico-curies/liter),0.401,Yes (Above 0.21 pico-curies/liter),0.047,No (Below 1.3 pico-curies/liter),0.013,No (Below 1.5 pico-curies/liter),11.4,No (Below 20 pico-curies/liter),0.222,No (Below 20 pico-curies/liter),10.8,No (Below 20 pico-curies/liter)
Section 2,9T-592,9/1/99,109 27 0.7512,36 51 29.0832,Some Risk,48,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),22.2,No (Below 50 micrograms/liter),28.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),2.4,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",224,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),2.4,No (Below 50 micrograms/liter),0.021,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),4.3,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),63.7,No (Below 260 micrograms/liter),130,"No (Below 5,000 micrograms/liter)",12,No (Below 15 pico-curies/liter),4.5,No (Below 50 pico-curies/liter),-0.5,No (Below 0.047 pico-curies/liter),-0.1,No (Below 5 Pico-curies per Liter),-7.2,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),6.4,No (Below 20 pico-curies/liter),0.5,No (Below 20 pico-curies/liter),2.2,No (Below 20 pico-curies/liter)
Section 4,Burro Spring,10/8/98,109 54 2.4828,36 27 5.23501,More Risk,7900,"Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),3.4,No (Below 50 micrograms/liter),44.5,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),17.3,No (Below 100 micrograms/liter),10.8,"No (Below 1,300 micrograms/liter)",13900,Yes (Above 300 micrograms/liter),6.3,No (Below 15 micrograms/liter),1390,Yes (Above 50 micrograms/liter),0.01,No (Below 2 micrograms/liter),17.3,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.8,Yes (Above 2 micrograms/liter),15.5,No (Below 260 micrograms/liter),661,"No (Below 5,000 micrograms/liter)",87.9,Yes (Above 15 pico-curies/liter),54.1,Yes (Above 50 pico-curies/liter),1.03,Yes (Above 0.047 pico-curies/liter),0.245,No (Below 5 Pico-curies per Liter),1.77,No (Below 5 pico-curies/liter),0.143,No (Below 0.21 pico-curies/liter),-0.005,No (Below 1.3 pico-curies/liter),0.094,No (Below 1.5 pico-curies/liter),34.9,Yes (Above 20 pico-curies/liter),1.16,No (Below 20 pico-curies/liter),24,Yes (Above 20 pico-curies/liter)
Section 3,Standing Rock Well,8/12/98,111 13 39.565,36 14 18.7032,Some Risk,47.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),4.1,No (Below 50 micrograms/liter),209,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),64.5,"No (Below 1,300 micrograms/liter)",209,No (Below 300 micrograms/liter),2.6,No (Below 15 micrograms/liter),50.3,Yes (Above 50 micrograms/liter),0.036,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),10.4,No (Below 260 micrograms/liter),167,"No (Below 5,000 micrograms/liter)",1.62,No (Below 15 pico-curies/liter),39.3,No (Below 50 pico-curies/liter),0.25,Yes (Above 0.047 pico-curies/liter),0.227,No (Below 5 Pico-curies per Liter),1.49,No (Below 5 pico-curies/liter),0.018,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.04,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),0.11,No (Below 20 pico-curies/liter)
Section 5,Tank 10R-24,11/17/98,109 27 8.6640,35 59 29.5487,Some Risk,45.2,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),65.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),9,"No (Below 1,300 micrograms/liter)","3,340.00",Yes (Above 300 micrograms/liter),3.6,No (Below 15 micrograms/liter),20.5,No (Below 50 micrograms/liter),0.059,No (Below 2 micrograms/liter),2,No (Below 730 micrograms/liter),4.2,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),3,No (Below 260 micrograms/liter),"1,270.00","No (Below 5,000 micrograms/liter)",8.74,No (Below 15 pico-curies/liter),8.85,No (Below 50 pico-curies/liter),0.05,Yes (Above 0.047 pico-curies/liter),0.121,No (Below 5 Pico-curies per Liter),0.358,No (Below 5 pico-curies/liter),0.007,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),6.22,No (Below 20 pico-curies/liter),0.143,No (Below 20 pico-curies/liter),3.47,No (Below 20 pico-curies/liter)
Section 2,Sweetwater Chapter House,9/1/99,109 25 31.506,36 51 8.51281,Some Risk,36,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),11.4,No (Below 50 micrograms/liter),17,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),3.2,No (Below 100 micrograms/liter),2.4,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.019,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),2.2,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),56.8,No (Below 260 micrograms/liter),3.7,"No (Below 5,000 micrograms/liter)",12.8,No (Below 15 pico-curies/liter),6.7,No (Below 50 pico-curies/liter),0.7,Yes (Above 0.047 pico-curies/liter),-0.1,No (Below 5 Pico-curies per Liter),-7.8,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.3,No (Below 1.3 pico-curies/liter),0.3,No (Below 1.5 pico-curies/liter),11.7,No (Below 20 pico-curies/liter),0.7,No (Below 20 pico-curies/liter),6.1,No (Below 20 pico-curies/liter)
Section 3,Tank-Middle Mesa (1T-518),8/12/98,111 1 48.5777,36 14 30.1602,Some Risk,60,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2.7,No (Below 50 micrograms/liter),71.7,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),4.9,"No (Below 1,300 micrograms/liter)",53.2,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),5,No (Below 50 micrograms/liter),0.014,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),7.5,No (Below 260 micrograms/liter),157,"No (Below 5,000 micrograms/liter)",2.2,No (Below 15 pico-curies/liter),2.46,No (Below 50 pico-curies/liter),0.53,Yes (Above 0.047 pico-curies/liter),0.107,No (Below 5 Pico-curies per Liter),0.475,No (Below 5 pico-curies/liter),0.014,No (Below 0.21 pico-curies/liter),0.013,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),1.21,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),0.21,No (Below 20 pico-curies/liter)
Section 7,Monument Pass Well,1/12/00,110 6 59.9004,37 2 7.366811,More Risk,38,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),3.9,No (Below 50 micrograms/liter),46.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.3,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),238,"No (Below 1,300 micrograms/liter)",351,Yes (Above 300 micrograms/liter),25.4,Yes (Above 15 micrograms/liter),14.1,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),7.4,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),35.4,No (Below 260 micrograms/liter),134,"No (Below 5,000 micrograms/liter)",19.5,Yes (Above 15 pico-curies/liter),21.1,No (Below 50 pico-curies/liter),4.6,Yes (Above 0.047 pico-curies/liter),-0.1,No (Below 5 Pico-curies per Liter),1.8,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),24.4,Yes (Above 20 pico-curies/liter),0.9,No (Below 20 pico-curies/liter),14.7,No (Below 20 pico-curies/liter)
Section 2,Immanuel Mission,8/31/99,109 23 49.508,36 48 9.13499,Some Risk,47,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),6.1,No (Below 50 micrograms/liter),63.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0.9,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.021,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),7.4,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),13,No (Below 260 micrograms/liter),56.8,"No (Below 5,000 micrograms/liter)",6.3,No (Below 15 pico-curies/liter),3.9,No (Below 50 pico-curies/liter),0.4,Yes (Above 0.047 pico-curies/liter),0.1,No (Below 5 Pico-curies per Liter),-4.5,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),6.5,No (Below 20 pico-curies/liter),0.4,No (Below 20 pico-curies/liter),4.2,No (Below 20 pico-curies/liter)
Section 4,Red Tree Spring,10/8/98,109 54 22.668,36 26 1.08718,Some Risk,118,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),51.2,"No (Below 1,000 micrograms/liter)",0.4,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",52.5,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),3.6,No (Below 50 micrograms/liter),0.12,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),19.2,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),49.7,"No (Below 5,000 micrograms/liter)",15,Yes (Above 15 pico-curies/liter),6.6,No (Below 50 pico-curies/liter),0.17,Yes (Above 0.047 pico-curies/liter),0.147,No (Below 5 Pico-curies per Liter),0.172,No (Below 5 pico-curies/liter),-0.003,No (Below 0.21 pico-curies/liter),0.01,No (Below 1.3 pico-curies/liter),0.004,No (Below 1.5 pico-curies/liter),6.18,No (Below 20 pico-curies/liter),0.97,No (Below 20 pico-curies/liter),3.04,No (Below 20 pico-curies/liter)
Section 3,Navajo John Well,8/12/98,111 11 29.109,36 12 37.4069,Some Risk,168,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2.7,No (Below 50 micrograms/liter),98.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),11.4,"No (Below 1,300 micrograms/liter)",55.2,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),3.1,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),4.2,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),5.4,Yes (Above 2 micrograms/liter),10.3,No (Below 260 micrograms/liter),18.7,"No (Below 5,000 micrograms/liter)",15,Yes (Above 15 pico-curies/liter),5.58,No (Below 50 pico-curies/liter),0.41,Yes (Above 0.047 pico-curies/liter),0.115,No (Below 5 Pico-curies per Liter),0.471,No (Below 5 pico-curies/liter),-0.016,No (Below 0.21 pico-curies/liter),0.012,No (Below 1.3 pico-curies/liter),0.006,No (Below 1.5 pico-curies/liter),9.62,No (Below 20 pico-curies/liter),0.044,No (Below 20 pico-curies/liter),3.1,No (Below 20 pico-curies/liter)
Section 3,Shonto Well -DOE,8/17/99,111 6 43.5750,36 8 4.637400,Unknown Risk,0,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),4.9,No (Below 50 micrograms/liter),79.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",30.8,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3.7,No (Below 50 micrograms/liter),NA,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),NA,No (Below 260 micrograms/liter),17.8,"No (Below 5,000 micrograms/liter)",8.56,No (Below 15 pico-curies/liter),6.89,No (Below 50 pico-curies/liter),NA,No (Below 0.047 pico-curies/liter),0.14,No (Below 5 Pico-curies per Liter),0.82,No (Below 5 pico-curies/liter),NA,No (Below 0.21 pico-curies/liter),NA,No (Below 1.3 pico-curies/liter),NA,No (Below 1.5 pico-curies/liter),1.3,No (Below 20 pico-curies/liter),0.04,No (Below 20 pico-curies/liter),1.3,No (Below 20 pico-curies/liter)
Section 2,Hidden Springs,3/25/99,109 9 31.6853,36 40 51.3905,Less Risk,23.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),83.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),36.1,"No (Below 1,300 micrograms/liter)",21.4,No (Below 300 micrograms/liter),1.2,No (Below 15 micrograms/liter),0.9,No (Below 50 micrograms/liter),0.068,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0.8,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),4.4,No (Below 260 micrograms/liter),10.2,"No (Below 5,000 micrograms/liter)",2.43,No (Below 15 pico-curies/liter),2.18,No (Below 50 pico-curies/liter),0.24,Yes (Above 0.047 pico-curies/liter),0.087,No (Below 5 Pico-curies per Liter),0.417,No (Below 5 pico-curies/liter),0.006,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),2.21,No (Below 20 pico-curies/liter),-0.003,No (Below 20 pico-curies/liter),0.87,No (Below 20 pico-curies/liter)
Section 7,Shonto Chapter House,8/31/98,110 38 40.300,36 35 38.9843,Less Risk,74.7,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),152,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),3,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.4,No (Below 50 micrograms/liter),0.072,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),4.4,No (Below 260 micrograms/liter),91,"No (Below 5,000 micrograms/liter)",2.34,No (Below 15 pico-curies/liter),3.58,No (Below 50 pico-curies/liter),0.14,Yes (Above 0.047 pico-curies/liter),0.118,No (Below 5 Pico-curies per Liter),0.556,No (Below 5 pico-curies/liter),0.019,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.09,No (Below 20 pico-curies/liter),0.141,No (Below 20 pico-curies/liter),0.35,No (Below 20 pico-curies/liter)
Section 4,Alamo Springs,3/15/99,109 47 2.3106,36 20 40.4868,Some Risk,27.3,"No (Below 1,000 micrograms/liter)",3.7,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),99.9,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),6.5,"No (Below 1,300 micrograms/liter)",17,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.4,No (Below 50 micrograms/liter),0.069,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3.3,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),4.7,No (Below 260 micrograms/liter),21.4,"No (Below 5,000 micrograms/liter)",4.36,No (Below 15 pico-curies/liter),5.89,No (Below 50 pico-curies/liter),0.37,Yes (Above 0.047 pico-curies/liter),0.186,No (Below 5 Pico-curies per Liter),0.473,No (Below 5 pico-curies/liter),0.005,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),4.83,No (Below 20 pico-curies/liter),0.138,No (Below 20 pico-curies/liter),4.32,No (Below 20 pico-curies/liter)
Section 3,Paddock Well,11/30/99,111 15 36.882,35 42 3.66299,More Risk,56,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),25.3,No (Below 50 micrograms/liter),71.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.1,No (Below 5 micrograms/liter),4.6,No (Below 100 micrograms/liter),15.4,"No (Below 1,300 micrograms/liter)",73,No (Below 300 micrograms/liter),1.7,No (Below 15 micrograms/liter),1.1,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),8.5,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),173,No (Below 260 micrograms/liter),33.4,"No (Below 5,000 micrograms/liter)",22,Yes (Above 15 pico-curies/liter),13.1,No (Below 50 pico-curies/liter),-4.2,No (Below 0.047 pico-curies/liter),0.1,No (Below 5 Pico-curies per Liter),-1.9,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),26.2,Yes (Above 20 pico-curies/liter),1.5,No (Below 20 pico-curies/liter),18.7,No (Below 20 pico-curies/liter)
Section 3,Balokai Spring,11/30/99,111 16 48.436,35 40 51.3041,Some Risk,0,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),9,No (Below 50 micrograms/liter),18.5,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),2,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3.2,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),43.2,No (Below 260 micrograms/liter),4.4,"No (Below 5,000 micrograms/liter)",8.1,No (Below 15 pico-curies/liter),-7,No (Below 50 pico-curies/liter),-1.7,No (Below 0.047 pico-curies/liter),-0.1,No (Below 5 Pico-curies per Liter),0,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),8.6,No (Below 20 pico-curies/liter),0.4,No (Below 20 pico-curies/liter),6.5,No (Below 20 pico-curies/liter)
